DATE,CELL_LAT,CELL_LON,COORDINATES_LAT,COORDINATES_LON,IS_FIRE_NEXT_DAY,IS_FIRE,CELL_WIDTH,CELL_LENGTH
2020-05-20,48.5,-71.25,13,33,0,0.6967059193382149,27.829,18.486
2020-05-20,48.5,-71.0,13,34,1,0.7003086653680756,27.829,18.486
2020-05-20,48.25,-71.0,12,34,0,0.70438162028353,27.829,18.576
2020-05-20,48.0,-71.0,11,34,0,0.7112210825183058,27.829,18.666
2020-05-20,48.25,-71.0,12,34,0,0.70438162028353,27.829,18.576
2020-05-20,48.5,-71.0,13,34,1,0.7003086653680756,27.829,18.486
2020-05-20,48.25,-71.0,12,34,0,0.70438162028353,27.829,18.576
2020-05-20,48.0,-71.0,11,34,0,0.7112210825183058,27.829,18.666
2020-05-20,48.0,-70.75,11,35,0,0.7062256092933965,27.829,18.666
2020-05-20,47.75,-70.75,10,35,0,0.6995375066694122,27.829,18.756
2020-05-20,47.75,-71.0,10,34,0,0.7065294040017445,27.829,18.756
2020-05-20,47.5,-71.0,9,34,0,0.6365316982863495,27.829,18.846
2020-05-20,47.5,-70.75,9,35,0,0.6911320185994778,27.829,18.846
2020-05-20,47.5,-70.5,9,36,0,0.6626236170209445,27.829,18.846
2020-05-20,47.75,-70.5,10,36,0,0.6981062990789525,27.829,18.756
2020-05-20,47.75,-70.75,10,35,0,0.6995375066694122,27.829,18.756
2020-05-20,47.5,-70.75,9,35,0,0.6911320185994778,27.829,18.846
2020-05-20,47.5,-71.0,9,34,0,0.6365316982863495,27.829,18.846
2020-05-20,47.25,-71.0,8,34,0,0.6507918937986013,27.829,18.935
2020-05-20,47.5,-71.0,9,34,0,0.6365316982863495,27.829,18.846
2020-05-20,47.75,-71.0,10,34,0,0.7065294040017445,27.829,18.756
2020-05-20,48.0,-71.0,11,34,0,0.7112210825183058,27.829,18.666
2020-05-20,48.0,-70.75,11,35,0,0.7062256092933965,27.829,18.666
2020-05-20,48.25,-70.75,12,35,0,0.7114585559791473,27.829,18.576
2020-05-20,48.5,-70.75,13,35,0,0.7036193100579999,27.829,18.486
2020-05-20,48.25,-70.75,12,35,0,0.7114585559791473,27.829,18.576
2020-05-20,48.5,-70.75,13,35,0,0.7036193100579999,27.829,18.486
2020-05-20,48.5,-71.0,13,34,1,0.7003086653680756,27.829,18.486
2020-05-20,48.25,-71.0,12,34,0,0.70438162028353,27.829,18.576
2020-05-20,48.0,-71.0,11,34,0,0.7112210825183058,27.829,18.666
2020-05-20,48.0,-71.25,11,33,0,0.706646400395375,27.829,18.666
2020-05-20,48.25,-71.25,12,33,0,0.7051656123410505,27.829,18.576
2020-05-20,48.5,-71.25,13,33,0,0.6967059193382149,27.829,18.486
2020-05-20,48.5,-71.25,13,33,0,0.6967059193382149,27.829,18.486
2020-05-20,48.75,-71.25,14,33,0,0.7072680432204096,27.829,18.395
2020-05-20,48.75,-71.5,14,32,0,0.7029303271249917,27.829,18.395
2020-05-20,49.0,-71.5,15,32,0,0.6863848365137708,27.829,18.303
2020-05-20,48.75,-71.5,14,32,0,0.7029303271249917,27.829,18.395
2020-05-20,48.75,-71.75,14,31,1,0.7021388009428109,27.829,18.395
2020-05-20,48.75,-71.5,14,32,0,0.7029303271249917,27.829,18.395
2020-05-20,48.75,-71.75,14,31,1,0.7021388009428109,27.829,18.395
2020-05-20,48.75,-72.0,14,30,0,0.6973263891823835,27.829,18.395
2020-05-20,48.5,-72.0,13,30,0,0.6388887684131788,27.829,18.486
2020-05-20,48.25,-72.0,12,30,0,0.694918585834215,27.829,18.576
2020-05-20,48.5,-72.0,13,30,0,0.6388887684131788,27.829,18.486
2020-05-20,48.75,-72.0,14,30,0,0.6973263891823835,27.829,18.395
2020-05-20,48.75,-72.25,14,29,0,0.6915393801165695,27.829,18.395
2020-05-20,49.0,-72.25,15,29,0,0.6991227017291766,27.829,18.303
2020-05-20,48.75,-72.25,14,29,0,0.6915393801165695,27.829,18.395
2020-05-20,48.5,-72.25,13,29,0,0.7063291867257742,27.829,18.486
2020-05-20,48.5,-72.0,13,30,0,0.6388887684131788,27.829,18.486
2020-05-20,48.25,-72.0,12,30,0,0.694918585834215,27.829,18.576
2020-05-20,48.5,-72.0,13,30,0,0.6388887684131788,27.829,18.486
2020-05-20,48.25,-72.0,12,30,0,0.694918585834215,27.829,18.576
2020-05-20,48.5,-72.0,13,30,0,0.6388887684131788,27.829,18.486
2020-05-20,48.75,-72.0,14,30,0,0.6973263891823835,27.829,18.395
2020-05-20,49.0,-72.0,15,30,0,0.7031716503244045,27.829,18.303
2020-05-20,49.0,-71.75,15,31,0,0.7069946905688965,27.829,18.303
2020-05-20,49.25,-71.75,16,31,0,0.7105105041195786,27.829,18.212
2020-05-20,49.25,-72.0,16,30,0,0.6949070578159708,27.829,18.212
2020-05-20,49.25,-72.25,16,29,0,0.6978692665328212,27.829,18.212
2020-05-20,49.25,-72.0,16,30,0,0.6949070578159708,27.829,18.212
2020-05-20,49.0,-72.0,15,30,0,0.7031716503244045,27.829,18.303
2020-05-20,49.0,-71.75,15,31,0,0.7069946905688965,27.829,18.303
2020-05-20,49.0,-71.5,15,32,0,0.6863848365137708,27.829,18.303
2020-05-20,48.75,-71.5,14,32,0,0.7029303271249917,27.829,18.395
2020-05-20,48.5,-71.5,13,32,0,0.689006510766319,27.829,18.486
2020-05-20,48.5,-71.25,13,33,0,0.6967059193382149,27.829,18.486
