DATE,CELL_LAT,CELL_LON,COORDINATES_LAT,COORDINATES_LON,IS_FIRE_NEXT_DAY,IS_FIRE,CELL_WIDTH,CELL_LENGTH
2020-05-20,48.75,-64.5,14,60,0,0.6368624295047656,27.829,18.395
2020-05-20,48.75,-64.75,14,59,0,0.6946568167697899,27.829,18.395
2020-05-20,48.75,-65.0,14,58,0,0.6891285707247102,27.829,18.395
2020-05-20,48.5,-65.0,13,58,0,0.6796126621471834,27.829,18.486
2020-05-20,48.5,-65.25,13,57,0,0.7002707749110574,27.829,18.486
2020-05-20,48.75,-65.25,14,57,0,0.7095976037678743,27.829,18.395
2020-05-20,48.75,-65.5,14,56,0,0.6326134864072119,27.829,18.395
2020-05-20,48.5,-65.5,13,56,0,0.6855718827925312,27.829,18.486
2020-05-20,48.5,-65.75,13,55,0,0.6587457429336614,27.829,18.486
2020-05-20,48.25,-65.75,12,55,0,0.7109619872301902,27.829,18.576
2020-05-20,48.25,-65.5,12,56,0,0.7101030673118371,27.829,18.576
2020-05-20,48.0,-65.5,11,56,1,0.7302806857668492,27.829,18.666
2020-05-20,48.25,-65.5,12,56,0,0.7101030673118371,27.829,18.576
2020-05-20,48.0,-65.5,11,56,1,0.7302806857668492,27.829,18.666
2020-05-20,48.0,-65.25,11,57,0,0.7145766026772885,27.829,18.666
2020-05-20,48.0,-65.5,11,56,1,0.7302806857668492,27.829,18.666
2020-05-20,48.0,-65.25,11,57,0,0.7145766026772885,27.829,18.666
2020-05-20,48.0,-65.0,11,58,0,0.7297931994954534,27.829,18.666
2020-05-20,48.25,-65.0,12,58,0,0.689834198905106,27.829,18.576
2020-05-20,48.5,-65.0,13,58,0,0.6796126621471834,27.829,18.486
2020-05-20,48.5,-64.75,13,59,0,0.6097859926618115,27.829,18.486
2020-05-20,48.25,-64.75,12,59,0,0.711401718355674,27.829,18.576
2020-05-20,48.25,-65.0,12,58,0,0.689834198905106,27.829,18.576
2020-05-20,48.25,-64.75,12,59,0,0.711401718355674,27.829,18.576
2020-05-20,48.5,-64.75,13,59,0,0.6097859926618115,27.829,18.486
2020-05-20,48.75,-64.75,14,59,0,0.6946568167697899,27.829,18.395
2020-05-20,49.0,-64.75,15,59,0,0.7264786909583775,27.829,18.303
2020-05-20,49.0,-65.0,15,58,0,0.7351495564163554,27.829,18.303
2020-05-20,49.0,-64.75,15,59,0,0.7264786909583775,27.829,18.303
2020-05-20,49.0,-65.0,15,58,0,0.7351495564163554,27.829,18.303
2020-05-20,49.0,-64.75,15,59,0,0.7264786909583775,27.829,18.303
2020-05-20,49.0,-64.5,15,60,0,0.706823097092971,27.829,18.303
2020-05-20,48.75,-64.5,14,60,0,0.6368624295047656,27.829,18.395
